1;arms_factory;2684.00;9.70;1740.00;0.99;0
1;arms_factory;2692.00;10.25;1740.00;3.66;0
1;arms_factory;2688.00;10.00;1736.00;0.04;0
1;arms_factory;2690.00;11.70;1742.00;1.60;0
1;arms_factory;2687.00;9.88;1737.00;5.72;0
1;arms_factory;2687.00;9.70;1732.00;0.65;0
1;industrial_complex;2686.00;9.80;1738.00;4.77;0
1;industrial_complex;2687.00;9.70;1734.00;0.04;0
1;industrial_complex;2684.00;9.70;1744.00;4.17;0
1;industrial_complex;2687.00;9.70;1735.00;5.37;0
1;industrial_complex;2687.00;9.80;1745.00;3.21;0
1;industrial_complex;2687.00;11.65;1740.00;6.23;0
1;air_base;2687.00;9.70;1730.00;1.16;0
1;naval_base;2694.00;9.70;1739.00;1.25;5579
1;naval_base;2684.00;9.50;1745.00;-2.90;5555
1;naval_base;2684.00;9.50;1735.00;-0.46;5579
1;bunker;2692.00;9.85;1744.00;5.88;0
1;bunker;2689.00;11.25;1737.00;3.73;0
1;bunker;2686.00;10.65;1740.00;3.83;0
1;coastal_bunker;2694.00;9.70;1745.00;1.25;0
1;coastal_bunker;2686.00;9.50;1730.00;-0.46;0
1;coastal_bunker;2681.00;9.50;1742.00;-1.33;0
1;dockyard;2690.00;9.70;1746.00;-3.14;0
1;anti_air_building;2687.00;9.70;1731.00;0.11;0
1;anti_air_building;2688.00;10.43;1737.00;2.78;0
1;anti_air_building;2688.00;9.70;1732.00;5.44;0
1;synthetic_refinery;2684.00;9.75;1743.00;2.17;0
1;fuel_silo;2688.00;9.70;1733.00;4.84;0
1;radar_station;2688.00;11.82;1739.00;2.27;0
1;rocket_site;2688.00;11.82;1739.00;2.78;0
1;nuclear_reactor;2688.00;9.85;1745.00;0.62;0
2;arms_factory;2745.00;10.35;1737.00;0.04;0
2;arms_factory;2729.00;10.43;1747.00;1.60;0
2;arms_factory;2740.00;9.70;1736.00;5.72;0
2;arms_factory;2728.00;10.20;1747.00;0.65;0
2;arms_factory;2752.00;12.25;1738.00;4.77;0
2;arms_factory;2729.00;10.05;1746.00;0.04;0
2;industrial_complex;2751.00;12.20;1738.00;4.17;0
2;industrial_complex;2750.00;9.70;1726.00;5.37;0
2;industrial_complex;2740.00;9.70;1738.00;3.21;0
2;industrial_complex;2748.00;9.70;1726.00;6.23;0
2;industrial_complex;2752.00;9.70;1727.00;1.16;0
2;industrial_complex;2742.00;9.85;1741.00;5.28;0
2;air_base;2739.00;9.70;1737.00;0.55;0
2;naval_base;2728.00;9.50;1737.00;-1.03;5656
2;naval_base;2753.00;9.50;1724.00;0.00;1452
2;naval_base;2744.00;9.50;1725.00;0.54;1452
2;naval_base;2736.00;9.50;1731.00;-0.67;5656
2;naval_base;2725.00;9.50;1740.00;-0.38;5656
2;bunker;2739.00;9.70;1740.00;4.33;0
2;bunker;2734.00;9.70;1738.00;0.71;0
2;bunker;2743.00;9.70;1731.00;3.73;0
2;bunker;2727.00;9.70;1743.00;0.11;0
2;bunker;2739.00;9.73;1745.00;2.78;0
2;bunker;2752.00;10.20;1732.00;5.44;0
2;bunker;2748.00;11.50;1739.00;2.17;0
2;coastal_bunker;2727.00;9.50;1738.00;-1.03;0
2;coastal_bunker;2747.00;9.50;1725.00;0.54;0
2;coastal_bunker;2736.00;9.50;1731.00;-0.67;0
2;coastal_bunker;2724.00;9.50;1742.00;-0.79;0
2;coastal_bunker;2753.00;9.50;1724.00;0.00;0
2;dockyard;2746.00;9.50;1724.00;0.54;0
2;anti_air_building;2744.00;9.70;1730.00;2.68;0
2;anti_air_building;2751.00;9.70;1729.00;3.90;0
2;anti_air_building;2743.00;9.70;1730.00;1.73;0
2;synthetic_refinery;2733.00;9.70;1737.00;4.40;0
2;fuel_silo;2740.00;9.95;1746.00;5.96;0
2;radar_station;2741.00;9.70;1738.00;3.98;0
2;rocket_site;2735.00;9.73;1746.00;0.18;0
2;nuclear_reactor;2750.00;9.90;1731.00;1.39;0
3;arms_factory;2659.00;9.70;1808.00;5.72;0
3;arms_factory;2672.00;13.48;1814.00;0.65;0
3;arms_factory;2655.00;9.70;1813.00;4.77;0
3;arms_factory;2662.00;14.05;1802.00;0.04;0
3;arms_factory;2667.00;13.32;1809.00;4.17;0
3;arms_factory;2675.00;13.28;1818.00;5.37;0
3;industrial_complex;2661.00;9.70;1820.00;3.21;0
3;industrial_complex;2668.00;9.82;1823.00;6.23;0
3;industrial_complex;2675.00;14.23;1814.00;1.16;0
3;industrial_complex;2665.00;11.32;1817.00;5.28;0
3;industrial_complex;2674.00;15.23;1811.00;0.55;0
3;industrial_complex;2670.00;14.18;1809.00;3.22;0
3;air_base;2660.00;10.18;1814.00;5.88;0
3;bunker;2651.00;9.70;1811.00;3.73;0
3;bunker;2668.00;14.25;1806.00;3.83;0
3;bunker;2669.00;13.13;1816.00;1.67;0
3;bunker;2664.00;13.63;1804.00;4.33;0
3;bunker;2674.00;14.70;1809.00;0.71;0
3;bunker;2671.00;12.82;1817.00;3.73;0
3;bunker;2659.00;9.70;1817.00;0.11;0
3;bunker;2660.00;9.70;1818.00;2.78;0
3;bunker;2655.00;9.50;1809.00;5.44;0
3;bunker;2668.00;14.80;1805.00;2.17;0
3;bunker;2669.00;10.28;1820.00;4.84;0
3;anti_air_building;2671.00;14.30;1808.00;1.23;0
3;anti_air_building;2665.00;13.40;1812.00;2.78;0
3;anti_air_building;2658.00;10.15;1811.00;0.62;0
3;synthetic_refinery;2666.00;14.53;1804.00;1.83;0
3;fuel_silo;2656.00;9.70;1814.00;5.95;0
3;radar_station;2662.00;12.32;1813.00;3.68;0
3;rocket_site;2657.00;9.70;1816.00;3.90;0
3;nuclear_reactor;2674.00;13.10;1819.00;1.73;0
4;arms_factory;2776.00;11.98;1819.00;4.77;0
4;arms_factory;2795.00;9.70;1837.00;0.04;0
4;arms_factory;2780.00;13.07;1829.00;4.17;0
4;arms_factory;2794.00;9.75;1837.00;5.37;0
4;arms_factory;2778.00;12.75;1829.00;3.21;0
4;arms_factory;2787.00;10.95;1828.00;6.23;0
4;industrial_complex;2783.00;12.73;1828.00;1.16;0
4;industrial_complex;2786.00;11.50;1828.00;5.28;0
4;industrial_complex;2780.00;11.23;1838.00;0.55;0
4;industrial_complex;2785.00;11.95;1828.00;3.22;0
